ID,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,Grade Point 
610071,711,725,722,707,712,742,705,716,704,731,706,717,709,702,715,713,708,710,726,105.5
610072,707,717,704,725,722,712,711,715,702,709,726,710,742,706,716,731,708,705,713,112.5
610073,713,731,742,707,722,725,726,711,712,717,709,708,710,702,704,705,715,716,706,81
610074,725,707,722,702,704,712,717,715,705,742,709,711,716,713,731,726,708,710,706,101
610075,704,709,710,707,725,712,715,711,708,717,722,742,716,726,731,702,705,713,706,140
610076,717,704,742,702,731,712,722,707,725,713,715,716,709,711,708,710,705,726,706,63
610077,717,704,702,712,725,722,707,742,708,711,709,716,726,731,713,706,715,710,705,83
610078,742,731,707,712,704,725,713,708,722,711,709,702,716,706,717,705,726,715,710,102.5
610079,707,722,717,704,725,702,711,712,705,726,731,716,713,709,715,708,742,710,706,102
610080,731,709,707,711,725,702,722,742,712,704,713,717,705,715,726,716,708,710,706,99.5
610081,717,715,726,704,706,707,712,711,725,716,722,742,702,705,710,709,731,713,708,62.5
610082,725,707,717,711,712,709,731,742,722,704,716,713,702,706,715,705,708,710,726,111.5
610083,705,704,713,709,717,702,716,731,726,708,722,725,711,712,707,742,715,710,706,75
610084,712,731,713,715,725,708,742,702,706,707,717,716,710,726,722,704,709,711,705,113
610085,707,722,716,712,711,731,705,717,708,704,706,742,702,726,709,713,725,715,710,115
610086,702,731,705,715,717,704,712,716,726,722,707,742,725,711,713,708,710,709,706,74.5
610087,705,711,706,710,702,715,716,709,717,704,742,725,722,707,731,726,708,712,713,155
610088,725,711,712,717,704,709,702,716,706,705,715,731,708,726,713,742,707,722,710,106
610089,717,702,707,709,711,712,716,725,722,704,713,715,731,742,705,726,708,710,706,97
610090,715,742,707,712,709,717,713,711,704,702,731,726,708,705,725,722,716,710,706,102.5
610091,726,715,717,710,716,731,711,707,712,722,725,713,702,742,705,708,704,709,706,71
610092,711,717,707,712,722,715,708,709,716,702,725,705,704,731,726,742,713,710,706,137
610093,712,725,707,722,709,704,711,731,716,717,726,702,742,713,708,715,705,710,706,138.5
610094,725,722,742,707,731,702,712,711,715,713,706,705,710,717,716,708,704,726,709,110.5
610095,707,722,717,705,715,716,704,726,709,702,731,712,711,742,713,725,708,710,706,94
610096,722,715,713,717,725,707,731,742,704,712,711,708,710,702,709,716,726,706,705,98
610097,704,708,731,715,713,710,742,717,705,702,709,726,716,712,711,725,722,706,707,79.5
